"","School","Instructions","Hours"
"1","Unspecified","Technical",1.86941772686658
"2","Wesleyan","Technical",0
"3","ISU","No Instructions",2.92443511787693
"4","ISU","Technical",4.97584053810781
"5","ISU","Emotional",5.10971588993329
"6","Unspecified","Emotional",3.90533872488525
"7","Wesleyan","Technical",0
"8","Unspecified","Emotional",3.9116616477263
"9","ISU","No Instructions",3.05164133985901
"10","Wesleyan","Technical",4.96620446011968
"11","ISU","Emotional",2.99775481438429
"12","ISU","No Instructions",2.98979490422873
"13","Unspecified","Emotional",8.03004085967019
"14","ISU","No Instructions",7.0806620412994
"15","Wesleyan","No Instructions",0
"16","ISU","No Instructions",3.85435240076483
"17","Wesleyan","No Instructions",0
"18","ISU","Technical",1.98304017275151
"19","Unspecified","Technical",3.12761231679036
"20","ISU","No Instructions",0.974408552286881
"21","Wesleyan","Technical",0.983463172896043
"22","ISU","No Instructions",3.95726788888713
"23","Unspecified","Technical",3.99431272530989
"24","Unspecified","Emotional",2.85546164041428
"25","Unspecified","Technical",5.18828070195665
"26","ISU","No Instructions",2.01168900180761
"27","Wesleyan","No Instructions",0
"28","Wesleyan","Technical",0
"29","Unspecified","No Instructions",4.97486114757733
"30","Wesleyan","Emotional",0
"31","Unspecified","Technical",2.99774681285324
"32","ISU","No Instructions",3.23309609732628
"33","ISU","Technical",3.99011696530875
"34","ISU","Technical",3.01664315785277
"35","Wesleyan","No Instructions",0
"36","Unspecified","Technical",2.08444736081429
"37","Wesleyan","Technical",0
"38","Unspecified","Emotional",5.84337637794933
"39","Unspecified","Emotional",1.01690381855806
"40","Wesleyan","Emotional",4.84943208311238
"41","Unspecified","Emotional",2.09949329474109
"42","Wesleyan","Technical",0
"43","Unspecified","No Instructions",2.99637431741289
"44","Wesleyan","Emotional",4.9588744121861
"45","Unspecified","No Instructions",9.12841489642462
"46","ISU","Technical",3.88821923414171
"47","ISU","Emotional",4.91649302953332
"48","Unspecified","Technical",0
"49","Unspecified","No Instructions",5.08991508604984
"50","Unspecified","No Instructions",3.9543587922184
"51","Wesleyan","Technical",0
"52","Unspecified","Technical",5.94121563937944
"53","Unspecified","No Instructions",3.93145470544224
"54","Wesleyan","Emotional",3.10048241824918
"55","Unspecified","No Instructions",2.92273509070252
"56","Wesleyan","Technical",0.800626629891863
"57","ISU","Technical",0.909074551542334
"58","ISU","Technical",1.94368439193998
"59","Wesleyan","Emotional",0.878214438291526
"60","ISU","Emotional",2.81796821471246
"61","ISU","No Instructions",4.96003706539134
"62","Wesleyan","No Instructions",3.2118368348201
"63","Unspecified","No Instructions",3.14151575459115
"64","Unspecified","Technical",1.05647651157737
"65","Wesleyan","No Instructions",2.89187028358005
"66","Wesleyan","No Instructions",2.90580239064929
"67","Wesleyan","Technical",0
"68","Wesleyan","Technical",0.108548855382277
"69","Wesleyan","No Instructions",1.05583438271431
"70","Wesleyan","Emotional",0
"71","ISU","Emotional",3.08773012313144
"72","Wesleyan","Emotional",5.08425353357682
"73","Unspecified","No Instructions",1.99484160118696
"74","Wesleyan","Emotional",2.93098785971545
"75","ISU","Technical",4.8161017154716
"76","Wesleyan","Technical",0
"77","Wesleyan","Emotional",1.77474099173456
"78","Wesleyan","Emotional",4.07343501869402
"79","Wesleyan","Emotional",4.01458057406498
"80","Unspecified","Technical",0
"81","Unspecified","Emotional",1.94387756398604
"82","Unspecified","No Instructions",2.0334792049149
"83","ISU","No Instructions",2.00320184270124
"84","Unspecified","No Instructions",8.12369171894445
"85","Wesleyan","Technical",0
"86","ISU","Technical",2.98545672916004
"87","ISU","Emotional",1.9407650374063
"88","Unspecified","Technical",2.87392870195448
