Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,Education,IQ,Performance
-0.478019,-0.203016,55,0.0654879,-0.397411,15,116,52.5531
1.9434,0.201765,40,-1.19703,0.88285,16,138,43.7736
-1.77897,0.537318,51,0.897897,-1.52032,15,100,51.6722
-1.23577,0.280276,63,-0.621584,-1.16294,13,81,55.118
-1.0552,1.29739,54,-0.244962,-0.261464,14,88,50.7451
-1.87311,1.50267,57,0.476576,-1.38412,15,76,60.2258
-0.288395,1.37306,51,0.203715,-1.00634,20,131,59.9026
0.979248,-0.036222,60,-0.146313,-0.846378,11,93,58.0744
-0.653918,0.161229,48,-0.608035,-0.953588,17,123,45.0146
-0.315908,0.0759189,44,0.344111,0.115084,12,92,43.5227
0.208664,0.220427,62,-1.33885,-0.139278,17,97,54.9075
-2.49139,-0.522948,48,1.93236,-0.198994,11,101,50.6565
0.422805,-1.09988,61,0.225775,-0.548361,11,122,66.2223
-0.556685,1.03177,53,-0.61792,1.5802,14,95,57.8512
0.0719576,-1.24951,59,-0.271047,-0.725821,14,110,60.0789
-1.44104,1.08094,62,-0.0670683,-0.0973229,10,99,56.7504
-0.649159,2.6808,69,-0.997551,-0.504644,15,93,69.1172
-0.724285,-1.00626,66,1.19697,-0.138664,13,109,62.4119
-0.280743,0.604705,52,0.289868,1.55522,10,86,45.8794
-0.0963769,1.49657,60,-1.29417,-1.26414,13,100,700
-0.567489,-0.259604,48,-1.96781,-0.943872,15,78,46.8621
-0.736908,-0.832373,32,-0.184457,-0.246552,14,90,34.4552
0.34722,-0.667939,51,1.26686,-0.341492,12,82,50.1779
0.249822,-0.522643,47,-0.0488003,0.459545,12,99,44.1535
-0.132583,-0.00365795,41,-0.150277,-1.43331,10,78,40.5094
1.22709,2.8833,50,0.750916,0.00310775,10,98,51.4523
1.19244,-0.902994,63,-1.29353,1.37594,13,75,52.0228
0.285917,-0.386396,51,0.238182,0.44531,13,72,46.4372
2.51856,-1.58734,39,1.10746,0.784785,14,105,42.8385
0.0152909,-0.822436,57,0.945581,0.486728,12,93,49.2874
-0.869479,0.307685,38,0.999147,-0.725285,11,117,39.1847
-0.484009,0.634622,55,0.95532,-1.34756,13,109,59.436
-0.00506695,0.269968,43,-1.69518,-0.386482,11,98,46.1834
-2.7743,-1.01383,57,0.580679,-1.98983,14,91,52.7455
0.560514,-1.36734,59,1.00925,0.533136,18,130,68.5966
-1.44503,-2.04963,39,0.983533,0.75754,16,101,41.2486
0.964578,1.16668,60,1.2383,-0.535435,13,118,62.1734
-0.81365,-0.37899,54,0.618211,-0.245192,14,106,49.3676
0.288049,-0.147787,50,-1.15973,0.845557,15,105,57.5981
0.137227,0.429238,56,-0.259976,-0.0894509,14,102,60.0703
-0.706626,-0.413145,46,0.452266,0.278638,16,104,46.9459
-0.62273,-0.766195,43,0.900293,1.33554,16,113,48.7042
0.250057,1.94583,55,-0.468653,0.479883,21,128,62.8039
-0.707717,1.04684,49,1.91989,0.700461,15,99,43.4822
0.585104,-0.451698,42,0.00219004,-0.244467,10,115,46.8132
0.845231,-1.64329,39,-0.16074,-0.0805515,12,91,49.5033
1.46931,1.52401,63,-0.177373,0.414486,13,99,53.5868
-0.753864,2.14548,43,0.0520579,1.33164,15,98,46.6653
0.462832,-0.232115,47,0.235019,1.81496,16,120,46.2525
-1.52561,-0.967926,55,0.681823,-1.41822,12,80,48.7685
-0.00474854,0.0747845,50,-1.14378,0.284345,14,106,54.3206
0.868986,1.09192,49,-0.444985,-0.890282,11,78,42.4949
-0.104609,-0.286172,50,-1.74492,1.36793,9,83,45.6795
-0.548653,1.19553,63,-0.200096,-0.359583,15,112,68.0651
-1.07694,-0.403786,41,0.112501,1.12026,14,134,47.5069
-0.568951,1.4005,42,-0.43021,-0.427697,10,67,39.1719
-0.327134,-0.813568,59,3.57088,-0.0711523,14,77,55.5899
-0.130735,1.09945,51,-0.0275332,0.377615,14,122,58.3421
-0.550187,1.27182,68,0.210572,1.33933,13,86,62.7001
-0.0150063,-1.8845,44,0.372611,0.41578,10,88,50.3546
1.53061,0.865964,45,0.26933,0.456224,13,81,45.7908
1.13601,-0.41786,53,0.0664124,0.113516,17,123,53.3494
-0.506259,0.114,58,-0.436896,-0.06782,12,91,54.6221
-1.00292,2.27517,49,-0.959509,0.0276449,13,94,44.1022
0.783512,-0.134411,44,-0.236965,-0.105807,11,77,34.3294
0.460966,-0.53924,46,0.0842624,0.809434,14,87,47.2257
-0.456145,-0.971739,74,1.10164,0.968267,18,102,67.8959
-0.202315,0.738382,53,-2.275,-1.40536,12,82,47.9214
0.0795325,-1.64616,51,-2.67377,-2.38252,10,83,48.4485
0.160241,0.103648,50,-0.77346,-0.290149,13,100,55.5719
-0.337598,-0.996597,35,0.74589,0.453097,9,107,31.4975
1.04609,0.831752,56,0.153338,0.448333,14,103,54.3372
1.43166,0.200563,55,0.621609,0.13672,16,111,46.3913
-0.418058,0.402492,61,-1.12074,0.578432,11,81,47.534
-0.690155,-1.39815,49,1.24314,1.09221,9,101,50.128
-2.24265,0.302303,42,0.313328,0.761624,14,107,44.4491
-0.492589,-0.154159,42,1.55751,0.489281,13,84,47.4967
1.12539,0.855504,35,0.555886,1.64508,13,84,35.2223
1.452,0.936942,38,-1.42992,0.305361,8,75,35.9575
1.73352,0.151574,50,1.40368,0.78011,14,91,52.5098
1.00678,1.14451,67,-0.441089,-1.29298,16,121,76.6333
0.903053,-1.68661,28,-0.133694,-0.702778,12,120,35.5007
-0.325758,0.141827,48,-0.0545695,0.180834,12,89,47.0006
0.217139,-2.82696,32,-2.13354,0.80672,14,98,36.5631
0.051879,0.0269588,51,0.0349217,-0.0963495,16,93,44.9105
0.679149,-0.136236,66,-0.600046,-0.646915,12,100,63.8736
1.99008,1.74707,55,1.00434,-1.07912,17,130,67.3105
0.343612,-0.309617,56,-0.678822,-0.891893,12,126,59.5294
-0.466828,-0.100169,35,0.576225,-1.58473,14,101,29.9043
-1.31176,-0.779879,53,-0.0836914,-1.57966,11,112,55.1156
0.275377,-0.695083,63,-0.0777917,0.16396,14,102,67.2973
-0.595943,-1.84894,75,-2.00379,-0.818002,14,89,58.9576
0.394963,-1.10403,32,0.519258,-1.0533,13,131,29.9918
1.30851,1.07073,58,-0.303585,-0.0897141,14,95,59.7672
1.32058,2.63121,60,-0.0189639,-0.213901,15,112,68.2299
0.0306779,1.12734,63,-0.255126,0.411156,17,104,69.11
0.106554,-0.22027,48,0.167605,-0.359787,13,101,48.6975
-1.0694,0.488266,42,-0.901426,-0.247246,5,86,44.289
0.563097,-0.168544,46,0.653441,0.0842895,12,108,44.688
-1.31577,-0.610326,49,1.3312,-0.813435,13,110,48.9449
0.0902111,-0.0606226,51,-0.12553,-0.0588915,13,112,54.3001
-0.457842,-0.191892,63,-0.435945,0.658972,14,96,57.654
-0.448313,-1.44195,62,-0.369392,-2.01247,15,97,65.2192
-0.0229635,0.555196,51,-0.774491,0.163647,13,90,55.9335
1.46572,0.969786,30,-0.0460942,-0.472369,10,64,33.3964
0.0389687,-1.74842,34,0.255086,0.297011,10,104,39.232
0.781202,1.67618,35,1.28813,-0.106095,13,108,38.1154
0.772826,-1.10813,40,0.453121,-0.296283,12,100,47.6772
-0.827,-0.942111,47,-0.103637,-0.882813,12,79,43.8703
1.66664,-0.998455,37,1.48261,0.995331,12,95,43.8499
-2.50896,-1.37102,54,-1.16522,-1.58411,10,74,48.3657
0.270331,-2.04657,54,0.949395,-0.108185,12,110,59.6174
0.496473,-0.553542,43,0.326704,-1.16862,13,95,40.5257
-0.0701965,-2.00704,66,0.802876,-1.15294,17,101,71.9627
1.93572,1.11587,52,0.179685,0.00221064,15,108,54.847
-0.851441,0.123958,40,1.3113,-0.274704,16,109,39.4937
-0.40988,-1.49046,43,-0.485809,0.284192,8,78,36.2351
-0.771003,-0.0280982,62,0.883887,-0.798279,12,98,60.619
1.44214,1.1147,39,-0.485417,-0.0594031,11,101,29.724
1.21934,-1.78957,37,0.547186,-0.974218,7,84,33.8286
-1.02006,0.530851,54,0.842231,-1.75605,15,89,49.6126
-1.48526,0.375057,58,0.391092,0.17505,12,95,53.5623
1.22036,-0.931514,52,0.180633,0.985614,11,86,45.6765
-0.560137,-0.63912,49,0.996965,0.189617,12,84,45.8648
-0.186912,0.0136567,58,-0.480285,-1.43533,14,107,59.4523
0.0494661,0.245581,39,-0.538865,0.397719,13,101,37.4148
-1.18138,-0.164349,46,0.0605867,-0.608291,14,109,42.0368
-0.628719,1.06636,61,0.817628,-0.13866,13,84,51.5128
-0.847836,-0.389623,30,-1.8536,-0.088326,14,101,32.8468
0.717669,-0.273513,48,0.251785,0.993347,15,105,47.4582
0.116905,-1.1516,61,-1.33261,-0.61334,14,112,62.3489
0.201614,-1.12363,44,-0.769834,-1.18704,10,106,40.8525
-0.0314699,-0.321313,55,0.907077,-0.49632,13,81,45.236
-0.499725,0.419919,53,-1.48691,0.66439,12,91,57.881
-0.938103,0.188322,38,0.431544,-0.237109,13,90,43.967
-1.15097,1.13943,51,0.229302,0.350026,12,97,41.5617
0.163634,1.42035,28,-0.240246,0.0896495,9,93,38.7719
0.220807,-0.7627,57,0.993329,1.50304,18,108,60.0134
0.997346,1.29195,58,-1.57951,0.237136,13,65,45.273
0.0958275,-0.620396,45,-0.371538,-0.480188,7,67,33.9233
1.13315,0.383526,41,1.47014,0.69866,11,89,36.0029
-0.722268,-1.35277,47,-0.426489,-1.04045,11,88,41.5725
-0.706927,0.0528605,49,-0.872318,-0.00609353,11,99,43.4608
0.858248,1.05283,69,1.51549,1.17669,18,101,69.6922
-0.0298404,0.918533,45,-1.70753,-0.830369,14,106,46.4963
1.44764,-0.117896,53,-1.30124,0.992995,16,101,51.5522
-0.0545503,1.01731,55,-1.71133,1.60951,13,80,54.9939
0.396692,-1.04261,58,-0.0407217,0.553738,15,102,59.5424
-1.51813,-2.15587,46,-0.454706,-0.125106,14,99,46.7181
-0.0661633,0.237566,48,0.758971,-0.900029,14,110,53.4161
-1.23976,0.505993,65,-0.0409375,-1.19681,12,86,52.3031
-0.49015,0.160834,66,-1.95713,0.627324,14,84,59.1975
0.1035,0.781646,59,0.957941,-0.170042,14,99,58.3196
0.0827576,1.45258,49,-1.90171,-0.73126,10,90,46.643
0.558077,0.834383,50,-0.186069,0.0100162,15,114,58.4577
