Treatment,LD,Reading Decoding,Reading Fluency,Reading Comprehension
Control,Dyslexia,92.76776036,10.88281803,52.11971347
Control,Normal,92.19284085,5.865129254,52.93118548
Intervention,Normal,126.5460335,14.49428388,74.23537315
Intervention,Normal,119.9897845,14.4522079,63.37405054
Control,Dyslexia,68.12943102,13.39697507,40.76963347
Intervention,Dyslexia,76.96100613,5.144156727,23.45453898
Intervention,Normal,95.58676895,8.365613932,53.45036853
Intervention,Normal,113.1742903,13.536167,47.06999296
Intervention,Dyslexia,83.02321632,5.545230833,31.70516392
Control,Dyslexia,62.42649432,2.31003191,27.82742626
Control,Normal,115.3078754,6.593402189,55.0818597
Control,Normal,100.3374687,9.658337609,49.89720384
Intervention,Dyslexia,88.15272114,10.89508455,56.01347852
Control,Dyslexia,97.06647429,10.04698474,41.85942607
Intervention,Dyslexia,100.1991933,6.936890698,46.84422779
Control,Dyslexia,81.82779898,9.833084174,38.53901102
Intervention,Normal,123.7471017,9.911186445,53.67129924
Intervention,Normal,126.5598879,14.41745571,59.3559065
Control,Dyslexia,70.26682621,8.779973163,39.39558302
Intervention,Dyslexia,73.62137662,9.075379928,45.1293387
Intervention,Normal,110.2220066,10.39264189,69.74452448
Control,Normal,90.94194372,10.69316773,54.94446876
Intervention,Normal,110.2406249,18.05423808,76.59735925
Control,Normal,110.6595831,12.62393764,46.74224499
Control,Normal,120.8313614,11.63550218,58.04889567
Control,Normal,107.4377254,11.58929504,65.48943874
Control,Dyslexia,101.8017472,6.946186822,42.23597656
Control,Normal,100.8602167,7.244120828,53.368496
Intervention,Normal,105.4507474,14.78131046,51.90277144
Control,Normal,111.9434912,13.17381883,52.80628367
Control,Normal,90.17586735,9.874395762,58.23618653
Intervention,Normal,100.1970403,10.86236338,36.51112649
Control,Normal,97.2772947,10.61197364,42.28283681
Control,Normal,95.22836859,10.63325755,50.07735976
Intervention,Dyslexia,98.35419154,10.27025033,47.40423608
Intervention,Normal,108.7487298,11.20864049,48.87422397
Intervention,Normal,92.55435204,13.51793014,58.69487229
Control,Normal,111.9533329,13.11077689,60.93587082
Intervention,Dyslexia,79.53469134,12.10152298,35.1723037
Control,Normal,110.6566426,10.20833354,57.11385192
Intervention,Normal,98.41206312,10.03904598,54.55348456
Intervention,Normal,103.0183077,11.45329512,54.49172321
Intervention,Dyslexia,78.28929949,12.49498139,43.81062397
Intervention,Normal,109.2182031,16.88349915,69.57275319
Intervention,Dyslexia,107.2073359,10.90077481,54.21746506
Intervention,Normal,113.848382,7.828449108,48.62695838
Control,Normal,107.4851746,10.55295661,65.82575337
Control,Normal,107.368504,2.12366156,38.9624449
Intervention,Normal,116.4909521,15.1632002,73.62235103
Intervention,Dyslexia,85.56497781,13.23001074,32.95458838
Control,Normal,86.31097568,9.129270048,43.36560337
Intervention,Normal,88.10995568,7.010116933,47.49916899
Control,Dyslexia,64.15072113,5.778998657,41.4105386
Control,Normal,92.83673601,12.20523346,50.99408459
Control,Normal,97.13227101,2.640193799,35.06804188
Control,Normal,105.8918796,15.79039644,59.04373938
Control,Normal,99.30123385,13.24912255,49.87217092
Intervention,Normal,97.55472787,14.43718937,47.67947112
Intervention,Dyslexia,83.48247829,6.905706491,39.74147804
Control,Normal,84.18272712,9.950236287,52.4508036
Intervention,Dyslexia,88.09141957,9.601179415,48.96930691
Control,Dyslexia,98.83870613,12.54399962,50.87037372
Control,Dyslexia,95.39517937,6.381018139,42.83526173
Control,Dyslexia,92.59187769,7.819079926,47.53634568
Intervention,Normal,96.28078998,12.53861711,42.65293112
Control,Normal,106.3193831,13.58105716,56.01961643
Control,Dyslexia,96.30184569,8.85213501,43.41946604
Intervention,Dyslexia,101.561549,11.44111213,57.89650709
Control,Dyslexia,100.4090236,7.097054048,37.70495792
Intervention,Dyslexia,105.5493926,13.60884921,54.93708566
Control,Normal,92.12857992,10.68321136,55.06213211
Intervention,Normal,89.08058424,9.831111456,37.18673824
Control,Normal,107.8945638,5.657453337,40.57713481
Control,Dyslexia,93.98340585,10.51902039,40.40786655
Control,Dyslexia,79.12183302,11.14202742,47.61248751
Intervention,Dyslexia,85.15791663,7.649865696,41.26853409
Intervention,Dyslexia,89.39710935,8.79418233,38.81451436
Control,Dyslexia,69.2579212,7.184166661,37.13255306
Intervention,Dyslexia,82.12380407,9.180835151,44.72093285
Intervention,Dyslexia,102.3213144,17.29365336,66.83452583
Control,Dyslexia,87.51716717,6.677779541,46.07534347
Intervention,Normal,85.22685264,13.7343549,46.70319044
Control,Normal,107.2329169,16.19062585,57.92679797
Control,Dyslexia,85.67167236,11.33620629,52.83281963
Intervention,Normal,94.54111187,13.66053379,62.83320587
Control,Dyslexia,74.0154084,8.941133297,38.35803086
Intervention,Normal,101.6954281,14.34464809,55.24399123
Control,Dyslexia,75.33693549,6.015068831,32.93566468
Control,Normal,79.33350233,7.903179562,55.30195867
Control,Normal,96.44094926,5.909486352,44.34584532
Control,Normal,85.47421751,5.663487954,51.25342426
Control,Dyslexia,75.29156467,9.017632798,35.1600191
Intervention,Dyslexia,67.92747885,6.372575337,34.28484063
Intervention,Dyslexia,79.66336847,10.04355288,49.49198812
Intervention,Normal,104.5568831,7.713367893,67.1451732
Intervention,Dyslexia,102.4063345,17.2113507,49.06412754
Control,Dyslexia,103.0756798,9.95088536,43.6874975
Control,Normal,92.26724516,6.31836354,53.7277707
Intervention,Dyslexia,105.5238492,14.73459581,55.15209474
Intervention,Dyslexia,97.02865608,12.73057591,60.78174466
Intervention,Normal,95.52415456,9.585833616,56.04812668
Control,Normal,89.47948151,5.196950914,40.4320273
Control,Dyslexia,92.0349481,15.07138423,54.77852302
Intervention,Normal,93.42380005,12.92228843,66.79712297
Intervention,Dyslexia,105.2275647,13.82762899,51.67163655
Control,Normal,114.4739606,13.76918503,53.27875689
Control,Dyslexia,66.23787381,5.203320636,26.77598335
Control,Normal,103.0811063,8.202446761,35.35982466
Intervention,Dyslexia,78.15792266,11.03894561,49.58505305
Intervention,Dyslexia,88.67344802,6.37507037,39.51260045
Intervention,Dyslexia,125.1473311,16.59909498,57.9302963
Intervention,Normal,101.0816993,11.92301032,60.43755752
Control,Dyslexia,76.21140653,6.077489738,36.80943713
Control,Normal,94.50464956,10.57885314,34.82704777
Control,Dyslexia,103.9704585,10.45641316,49.06747864
Control,Normal,103.610457,7.673015593,43.08156839
Intervention,Normal,90.7133751,12.73870314,57.1886218
Control,Dyslexia,61.46469134,5.36586294,25.4079299
Control,Normal,101.6758535,8.156704262,44.77363365
Intervention,Dyslexia,86.54750884,11.61882857,34.47254106
Intervention,Dyslexia,84.91232848,15.27588918,49.47885897
Control,Normal,129.6881104,8.440407133,57.65942644
Control,Normal,94.38396364,13.78368421,58.22606619
Control,Normal,109.5904181,15.86778091,60.08676096
Intervention,Normal,86.13552449,10.48795924,57.94965063
Control,Normal,72.2689898,8.60680816,40.18083743
Intervention,Dyslexia,82.80718798,6.883467795,45.39126083
Control,Dyslexia,84.74574031,10.18266151,44.11275572
Control,Normal,103.6501907,11.18171928,47.07168226
Intervention,Dyslexia,100.4585777,13.78366487,49.67343438
Intervention,Normal,99.78869353,12.30594152,61.38602726
Control,Dyslexia,76.74505306,10.5236067,44.41511106
Control,Dyslexia,51.84496968,3.275495596,23.89557013
Intervention,Dyslexia,98.78042207,7.567949324,44.34270385
Intervention,Dyslexia,87.35965011,13.47243117,49.40334194
Intervention,Normal,99.90342222,9.86360278,57.7641985
Intervention,Dyslexia,87.0363121,3.66802452,49.22905118
Intervention,Dyslexia,93.11490301,9.223454278,47.15618937
Intervention,Normal,93.30123293,16.44243193,55.52290445
Intervention,Dyslexia,102.5475699,14.04456241,45.2132308
Intervention,Dyslexia,78.57966139,9.729973475,40.38957837
Intervention,Dyslexia,102.1101323,11.75729148,52.28095681
Control,Normal,79.80657059,7.008774259,46.09913302
Control,Dyslexia,84.3141854,5.75231132,40.58464599
Intervention,Dyslexia,84.76005939,12.08907236,46.84719945
Control,Dyslexia,80.66989686,10.8716354,39.92411004
Control,Dyslexia,81.46732769,8.258862966,41.38030884
Intervention,Dyslexia,94.75704022,12.99819286,49.61083984
Control,Normal,105.8729881,10.93819647,58.70962637
Intervention,Normal,107.6676247,11.35953461,59.16004951
Intervention,Normal,83.8137633,7.494932699,35.05803895
Intervention,Normal,98.02334429,14.10926687,69.13286349
Control,Dyslexia,54.25074412,6.071308159,28.4760346
Control,Dyslexia,75.16960482,8.944063835,32.73341068
Intervention,Dyslexia,71.99203358,7.612248998,30.99901727
Control,Dyslexia,59.78495666,5.275039124,31.98978493
Intervention,Normal,80.78385859,7.14003866,49.56992463
Control,Normal,79.01948399,10.67883817,32.04071744
Control,Dyslexia,65.51888199,6.876947415,29.4395036
Control,Normal,98.78592986,8.163439517,53.39837214
Control,Normal,106.9785377,12.89410285,54.7985715
Intervention,Normal,124.727479,13.07963318,62.6776276
Control,Dyslexia,64.85794362,6.750007485,42.10774233
Intervention,Dyslexia,95.84392783,16.53286937,61.62314034
Intervention,Normal,92.6546266,6.358362107,59.08483469
Control,Normal,121.8074111,14.09861175,55.00605924
Control,Normal,104.3675785,11.88210717,54.88596635
Control,Normal,102.1556018,8.058624119,46.3284131
Intervention,Dyslexia,92.11507958,8.716739803,49.09887933
Control,Dyslexia,84.16757621,6.786235685,39.34468975
Intervention,Dyslexia,87.1931508,14.79432515,41.38579089
Intervention,Normal,90.17157456,14.02873895,43.55784477
Intervention,Normal,113.4259276,8.508871792,60.41682821
Control,Normal,97.29968815,8.172061259,42.83149148
Control,Dyslexia,83.08524642,3.310689062,40.14287289
Intervention,Dyslexia,87.36348982,14.21270615,55.8051417
Intervention,Dyslexia,79.27939069,8.765137602,43.57315579
Intervention,Normal,117.4879054,17.03575151,68.95786353
Intervention,Normal,99.32356902,13.65065037,61.33051907
Intervention,Dyslexia,112.36655,10.8721508,65.07104512
Control,Normal,105.8961788,12.38570863,45.21894253
Control,Dyslexia,72.15922982,6.702524165,32.90252115
Intervention,Normal,92.82146766,7.97740069,53.11362081
Intervention,Normal,108.2519268,9.040372871,44.60038144
Intervention,Dyslexia,95.24949129,12.18112088,50.82575226
Control,Normal,110.4997979,4.162347192,62.92141831
Intervention,Dyslexia,89.58472512,10.21112862,38.0189193
Intervention,Dyslexia,92.67501565,8.401426349,47.16859602
Intervention,Normal,100.4657336,11.97198115,59.60467183
Intervention,Normal,96.47095758,9.207441397,48.27645326
Intervention,Normal,99.16837206,10.74855715,60.83476371
Control,Dyslexia,82.00407618,7.124425377,42.93457333
Control,Dyslexia,71.79558792,11.63566125,31.11040759
Intervention,Dyslexia,84.56599394,11.95714447,40.83468796
Control,Normal,94.93023474,9.994334275,42.31804745
Intervention,Dyslexia,97.05214953,6.028393569,44.72153348
Control,Normal,87.06945009,8.58415761,61.2255397
Intervention,Dyslexia,85.32748604,14.90659083,44.32062174
Control,Dyslexia,75.25698503,6.777219624,43.01635849
Intervention,Normal,87.59044519,12.3240265,47.54017138
Control,Dyslexia,94.31403994,5.564785149,31.98048872
Control,Dyslexia,94.9612162,10.20807869,38.06014447
Intervention,Dyslexia,75.72150242,9.597700574,46.56291506
Control,Dyslexia,77.56196269,7.920811217,40.31610641
Control,Normal,112.6733406,9.579808599,68.74766296
Intervention,Normal,82.76186158,6.389173474,47.98337131
Intervention,Dyslexia,85.82792486,10.12369313,42.97034285
Control,Normal,100.8200511,10.0460722,55.02702867
Control,Normal,93.04321579,7.615535059,37.14832647
Intervention,Dyslexia,63.97923346,6.519195059,32.46044962
Intervention,Dyslexia,67.7873659,4.361639099,43.34727867
Control,Normal,96.61072531,9.588195512,38.59666041
Intervention,Dyslexia,77.77009404,8.47359999,37.88027561
Intervention,Normal,105.4760612,11.39898522,65.35862879
Intervention,Dyslexia,94.58000354,9.745943782,49.36509435
Control,Dyslexia,79.23672603,11.58523916,47.48326109
Intervention,Dyslexia,91.01993167,11.43889258,63.04962612
Intervention,Normal,101.18979,9.081470891,56.8317934
Intervention,Dyslexia,87.0416016,3.410140804,45.18352927
Control,Dyslexia,96.39098073,9.012140005,52.21731948
Control,Dyslexia,82.23801561,11.01785991,41.16136228
Control,Dyslexia,83.42096796,7.547722436,46.48469825
Control,Normal,95.87287932,14.90078457,47.61348827
Intervention,Normal,92.40873421,8.867852258,53.19532315
Intervention,Dyslexia,100.8143256,15.13482832,54.05570207
Intervention,Dyslexia,66.46891213,11.48193548,50.19166111
Control,Normal,102.414941,1.917401427,51.11966605
Control,Dyslexia,70.14543421,6.549078568,31.46236489
Control,Dyslexia,70.12929256,6.709871873,28.71328235
Intervention,Dyslexia,90.22572573,8.952197571,48.08591914
Control,Dyslexia,66.77629663,10.0770503,37.74743994
Control,Normal,61.4995765,4.619248824,37.97926746
Control,Normal,109.2825187,13.38860512,63.19456413
Intervention,Dyslexia,76.47132254,10.35255977,33.02389847
Control,Normal,95.48661711,8.137521281,49.78158514
Intervention,Normal,89.93228139,16.74098591,60.33064301
Intervention,Normal,92.66308263,6.707147217,46.15931748
Intervention,Dyslexia,82.65831447,2.440255726,38.05709907
Control,Dyslexia,93.26354856,11.87203609,42.83196987
Control,Dyslexia,80.19317107,5.031124114,34.49946463
Control,Dyslexia,77.60642664,10.32119272,44.20888303
Intervention,Dyslexia,75.07308642,9.868740532,24.83723903
Intervention,Dyslexia,89.44745101,14.71802688,56.7355282
Control,Normal,110.6973193,11.27430195,54.20515242
Control,Normal,91.44796585,5.878240863,42.93012875
Control,Normal,96.40769726,5.732131249,46.40610985
Control,Normal,118.741069,7.612242507,45.47815849
Control,Dyslexia,71.18296268,9.507146747,32.99902836
Control,Normal,114.7485297,7.400977625,50.80822485
Intervention,Dyslexia,78.23108253,7.327797523,38.46644339
Intervention,Normal,65.37204178,5.979023937,49.51811667
Intervention,Normal,116.4538553,9.609112276,55.69927715
Control,Dyslexia,61.75918621,5.268507462,37.17451177
Intervention,Dyslexia,78.24400215,9.87783341,42.04808637
Control,Normal,74.95608198,4.297481724,31.06451696
Control,Normal,86.02739533,12.69276628,42.45501146
Control,Normal,93.85725516,7.546866879,52.60836341
Control,Dyslexia,91.90118586,13.03433814,50.61585012
Control,Normal,96.30090566,11.58388797,52.25161549
Intervention,Normal,119.363345,13.624145,62.27103711
Intervention,Normal,96.65523882,12.20278629,60.50598164
Control,Normal,119.5228161,13.84422734,59.12954095
Control,Normal,105.4931262,10.50272979,48.88827186
Intervention,Normal,98.78788376,7.825255762,51.34490579
Intervention,Dyslexia,94.2182185,11.68514468,44.25440384
Control,Normal,98.05436904,7.658490203,41.72892731
Control,Normal,90.9297376,3.184602087,41.29700198
Intervention,Dyslexia,84.45738882,8.12528643,44.44154757
Intervention,Normal,91.88165669,14.39611828,54.08528439
Control,Dyslexia,65.99697952,3.780398892,27.49291982
Control,Dyslexia,65.96302948,8.606891257,31.42956151
Control,Normal,77.30622299,10.93338938,48.63929058
Control,Dyslexia,95.68683475,8.628193355,48.4072812
Control,Dyslexia,82.21219328,2.888288775,45.83393412
Control,Normal,95.32324885,17.02255683,58.87839052
Control,Dyslexia,97.19058536,14.66606554,47.29936242
Control,Dyslexia,75.25468173,3.668769587,41.37352511
Control,Normal,93.04419115,13.22034413,49.61733431
Control,Normal,95.91742306,11.92603657,45.3804941
Intervention,Normal,130.5813616,12.7849824,63.33607291
Control,Dyslexia,75.02516959,9.175957573,44.99920005
Intervention,Normal,84.27766646,10.71562271,54.90466496
Intervention,Dyslexia,75.83277102,11.87709129,41.09598574
Control,Dyslexia,88.43259383,8.916438885,33.82366708
Control,Dyslexia,97.74096409,9.552303137,55.66313387
Control,Dyslexia,68.56888841,10.21373794,30.9498796
Control,Dyslexia,86.56254239,11.96376689,40.08312076
Control,Dyslexia,82.82934785,6.204547623,46.74778627
Control,Dyslexia,89.39509427,7.043561076,43.47297857
Control,Dyslexia,98.60793995,8.420337717,38.34502634
Control,Normal,108.1096686,10.32660349,45.54933302
Control,Dyslexia,76.91955066,3.223596509,33.64602505
Intervention,Dyslexia,69.87035214,6.378175601,20.85770333
Control,Normal,105.2388116,11.4756012,44.4369088
Intervention,Normal,95.39096118,9.463019638,45.40021105
Intervention,Dyslexia,83.81749464,13.15770013,36.87655874
Control,Dyslexia,83.05023119,8.041945473,28.01664324
Control,Dyslexia,62.16226994,8.656311473,31.13328324
Control,Dyslexia,65.77941777,11.03682264,34.95489587
Intervention,Dyslexia,93.5627419,10.56467671,53.37729449
Intervention,Normal,105.6150683,12.69456351,61.99953752
Control,Normal,113.5190489,12.63158883,60.91430489
Control,Normal,105.9673601,11.40414784,48.89923888
Control,Normal,107.8252616,8.835391871,46.28616641
Control,Normal,97.86650147,9.254747416,43.57801821
Intervention,Dyslexia,76.37575552,6.863757355,34.79184608
Control,Normal,93.50380918,4.690554998,38.17250832
Intervention,Dyslexia,70.43818681,8.845684562,41.25837796
Control,Dyslexia,85.37503739,9.038924128,56.51834866
Control,Dyslexia,69.12157482,9.573083623,37.24624026
Control,Dyslexia,74.7360376,3.7694954,36.58064473
Control,Dyslexia,83.63878933,3.836135995,34.05228256
Intervention,Normal,100.0924595,13.37556404,51.23419254
Intervention,Dyslexia,85.46803825,9.937359064,43.17868958
Control,Normal,112.0118196,15.16358564,55.69956412
Control,Dyslexia,87.15509621,8.464048525,47.48448689
Control,Normal,110.9645589,12.32238021,62.49947561
Control,Dyslexia,82.57468531,6.769286072,37.2318687
Intervention,Dyslexia,86.00232897,9.425050264,45.66544685
Intervention,Dyslexia,99.60980303,12.3443831,53.28545097
Intervention,Dyslexia,86.85574423,10.32025191,50.37592789
Control,Dyslexia,73.97097382,12.16758837,54.84426912
Control,Normal,99.05073795,13.29853856,56.82802304
Intervention,Dyslexia,84.04325875,6.904728558,34.66094522
Intervention,Normal,102.1894405,10.82250551,48.84119292
Intervention,Normal,83.17224835,8.568432177,55.70234406
Intervention,Dyslexia,77.41624526,9.261251274,46.0681795
Intervention,Normal,72.55801805,10.27418908,48.37873317
Control,Normal,76.42291296,5.868742367,40.05087517
Intervention,Normal,91.29651859,9.24095375,51.66315042
Intervention,Normal,107.6932831,11.15724012,53.02600719
Control,Dyslexia,88.1291171,11.1467785,41.91340808
Control,Normal,109.2061339,10.38582699,50.62467834
Intervention,Normal,90.79211133,8.293441219,56.80579641
Control,Normal,99.43571253,4.843189707,35.49758759
Control,Normal,110.5350948,8.150078236,62.27316371
Control,Dyslexia,98.66978268,12.02551745,37.58583363
Control,Dyslexia,64.42597437,6.984454301,37.02456043
Intervention,Dyslexia,84.15146173,9.015593809,40.30109837
Intervention,Normal,119.7695419,11.45807896,61.67470475
Intervention,Normal,92.87906257,8.267873809,48.27763023
Control,Normal,79.14016476,8.377541328,45.37880117
Intervention,Dyslexia,88.4068276,12.24105511,35.3142551
Control,Normal,93.10508481,5.351611685,48.90082189
Intervention,Normal,126.1568536,15.27667813,59.98094882
Control,Normal,115.8800852,10.92600899,56.08702661
Control,Normal,101.6624571,11.18360139,55.69177346
Control,Dyslexia,65.98914497,12.09257308,35.54394138
Control,Normal,106.1533841,16.07994295,52.69949621
Intervention,Normal,91.69848596,15.57392539,47.84845234
Control,Dyslexia,81.05406386,6.814389555,39.61500577
Control,Dyslexia,72.62561559,3.690235604,27.85573117
Intervention,Normal,106.2402371,12.91978526,50.22181737
Control,Normal,85.60768099,9.62509025,52.45595065
Intervention,Dyslexia,76.62942501,6.698604531,34.98354844
Control,Normal,113.871714,15.10252974,62.72046626
Intervention,Dyslexia,79.28999524,7.961658054,43.06316117
Control,Dyslexia,90.79783437,9.759942434,39.76968476
Intervention,Dyslexia,96.80604166,11.8037468,51.09236763
Control,Dyslexia,63.14523863,6.797809929,36.74855378
Control,Normal,92.08157321,11.36470823,54.28740311
Control,Dyslexia,67.46694734,6.868423886,29.5441993
Intervention,Dyslexia,94.0402754,10.83144375,52.70746865
Control,Dyslexia,70.76653287,9.335099331,35.53393309
Intervention,Dyslexia,91.42526895,12.10442713,55.04588357
Intervention,Dyslexia,78.95586105,10.09616548,33.41698409
Control,Dyslexia,69.76738402,7.532429629,40.02189213
Intervention,Normal,103.0533006,8.422939833,52.7873962
Intervention,Dyslexia,90.99766631,7.451571187,48.92753796
Control,Dyslexia,83.44503994,9.529860464,44.34561923
Control,Dyslexia,72.11755401,9.482579552,41.57831375
Intervention,Normal,116.9546563,5.822478251,62.39487079
Intervention,Normal,70.34645308,5.619303252,43.56452498
Control,Normal,91.15406523,7.310160272,39.9296779
Control,Normal,79.98928973,7.816628144,34.37941686
Control,Normal,106.4952277,10.24466602,55.12301165
Control,Dyslexia,77.32985306,2.804278977,35.08009318
Intervention,Dyslexia,96.90300192,12.41271033,54.37400054
Control,Dyslexia,85.84594215,5.52744482,37.75032596
Control,Dyslexia,95.42224316,10.1154897,45.57214875
Control,Normal,114.9503516,11.87763073,50.05085216
Intervention,Dyslexia,106.8437043,17.63070425,51.87182334
Intervention,Normal,108.2025205,8.526875205,46.76965324
Intervention,Normal,102.3804185,9.017447235,67.48580056
Control,Normal,112.3510481,9.992981995,66.13655306
Control,Dyslexia,74.8231396,7.663045244,37.71581861
Intervention,Dyslexia,84.97564555,10.19407296,37.47487843
Intervention,Normal,101.3291686,7.7179248,51.09843339
Control,Normal,97.87863454,5.417972144,48.16915877
Intervention,Normal,108.788103,12.49420676,52.75200802
Control,Normal,112.2165665,10.81906231,62.50533159
Control,Dyslexia,83.85564731,8.615257378,47.56560354
Intervention,Normal,107.2645263,11.33401675,65.06610862
Intervention,Normal,84.65654579,7.618528587,47.18168173
Control,Normal,103.6373153,10.33613014,53.20528522
Control,Dyslexia,93.97976598,9.723219646,57.13942941
Intervention,Dyslexia,63.11993306,5.453476031,42.79438701
Control,Dyslexia,83.36351318,9.23191034,44.15911044
Control,Normal,93.79289762,7.936979024,48.07330866
Control,Dyslexia,71.53284572,7.520244531,29.30998518
Intervention,Dyslexia,64.51411526,9.402512082,25.20159795
Control,Normal,81.37448566,9.67821591,45.61746678
Intervention,Normal,97.21771352,12.94066349,51.10186325
Intervention,Dyslexia,98.97708941,9.462366842,59.33480142
Intervention,Normal,116.685769,15.88687611,64.28810872
Intervention,Dyslexia,104.9131363,13.26661486,54.34352789
Control,Dyslexia,52.15374849,5.207703938,39.02153954
Intervention,Normal,99.96533525,11.87035034,58.40966156
Control,Normal,95.26249961,6.979641476,41.01340417
Intervention,Dyslexia,63.04548868,8.076652061,41.83456791
Intervention,Normal,95.99343483,13.18864227,59.5315259
Control,Dyslexia,82.1787258,1.898959106,37.50912268
