Sample,Date,T,pH,Eh,Na,K,Mg,Ca,Alk,Cl,NO3,SO4,SiO2,TDS,NH4,PO4,F,B,V
Piano,16-01-97,8.4,6.6,NA,15.6,5.5,13.1,17.8,122,18.5,NA,18.5,75,286,NA,NA,341,NA,6
S.,16-01-97,15,6.52,NA,110,18.8,44.5,46.7,519,47.1,6.26,79.2,62,933,154,NA,202,190,26.3
Vena,16-01-97,10.2,7.86,NA,20.5,2,5.2,14.2,79.3,13.2,NA,24.9,11,177,NA,NA,239,NA,6.9
Fisuari,09-04-97,10.2,6.62,NA,40.7,7,21.7,34.7,256,20.5,3.41,34.3,31,449,NA,53,238,145,19
Acquafredda,28-04-97,12.2,7.3,NA,55.9,12.1,29.2,89.6,354,62.9,40.2,79.2,37,760,NA,NA,192,130,NA
Cambria,28-04-97,10.7,6.67,NA,69.7,12.5,41.8,42.5,415,32.9,8.25,46,40,708,NA,NA,262,230,30
Fiumefreddo,28-04-97,14.1,7.5,NA,52.4,10.2,22.2,23.2,226,28.8,12,40.4,37,452,NA,401,458,187,25
Gabbella,28-04-97,10.9,6.7,NA,46.9,9,24.4,63.5,299,39.8,24.9,52.3,35,595,NA,NA,189,136,8
Rovittello,29-04-97,14.1,7.57,NA,37.9,8.4,11.8,21.9,177,24.5,4.09,23.9,39,349,NA,146,294,171,35
Caterina,29-04-97,9.2,7,NA,19.1,3.9,8.1,51.1,214,11.8,1.49,15.1,20,344,NA,NA,142,NA,NA
Biviere,30-04-97,11.2,7.4,NA,21.8,3.1,7,51.5,189,17.5,7.56,23.9,19,340,NA,NA,191,100,NA
Friera,30-04-97,14.3,7.57,NA,28.3,7,18,56.5,226,24.8,21.2,38.4,40,460,NA,NA,381,NA,6
Ragonese,30-04-97,13,7.99,NA,64.9,11.3,19.1,15.7,195,30.1,1.61,71.5,30,439,NA,146,299,133,10
Guardia,03-05-97,14.5,6.29,NA,49.7,13.3,36.3,26.7,262,31.2,41.9,55.3,73,589,NA,NA,274,NA,8
Picciolo,05-05-97,15.5,7.6,NA,65.8,10.9,20.7,8.2,232,30.8,3.04,26.8,36,434,NA,NA,348,274,40
Pedara,11-06-97,14.3,7.54,NA,45.3,8.2,13.1,11.2,153,20.7,0.43,33,40,324,NA,363,625,174,40
Poggio,12-06-97,8.9,7.6,NA,224,10.6,43.6,19.6,299,283,0.25,39.3,33,952,NA,203,399,674,30.2b
Macello,08-07-97,14.2,6.78,NA,96.1,19.6,79.8,36.9,610,51.4,26,69.1,70,1059,NA,25,439,281,23
Petraro,08-07-97,17.2,6.41,NA,135,10.6,113,72.9,946,52.8,5.64,126,52,1514,NA,NA,361,978,4
Raffo,08-07-97,17.6,6.35,NA,174,16.8,201,117,1671,70.9,0.56,49,26,2328,NA,NA,252,1370,NA
Bufardo,09-07-97,13.5,7.34,NA,51.3,9,24.7,11.2,214,25.3,NA,28.9,37,401,NA,NA,371,184,43
Milo,09-07-97,15.4,7.63,NA,17.3,7.5,10.7,22.5,79.3,12.1,9.92,47.7,73,280,NA,NA,284,NA,6
Di,10-07-97,14.5,7.35,NA,58.4,11.7,28.3,14.8,214,32.2,0.12,70.2,40,469,NA,NA,336,158,NA
Fiumefreddo,10-07-97,14,7.28,NA,47.8,10.9,24.7,14,214,29.6,NA,35.5,40,417,NA,NA,385,206,22
Palme,10-07-97,13.2,7.2,NA,65.5,10.2,31,14.2,232,31.1,1.92,65,36,487,NA,NA,347,194,NA
Noce,10-07-97,13.4,7.17,NA,62.1,10.6,28.2,10.2,232,29.3,0.19,51.4,44,467,NA,219,374,237,5
Maugeri,11-07-97,13.4,7.55,NA,39.1,6.6,20,17,195,25.3,5.52,21.1,34,364,NA,NA,354,156,46
Piedimonte,11-07-97,12.7,7.86,NA,42.8,7,14.8,8,159,19.9,2.54,18.1,39,311,NA,NA,333,187,29
Musmeci,30-09-97,16.8,7.66,NA,115,19.9,87.1,66.1,695,89.7,29.7,57.3,62,1222,NA,346,442,1050,64
Casalrosato,08-10-97,17.5,7.12,251,67.1,25.8,29.4,54.7,91.5,92.2,115,124,58,658,NA,396,NA,128,13.2
Russotti,09-10-97,12.8,6.68,234,122,14.1,105,31.9,817,58.6,NA,27.6,53,1230,NA,NA,326,554,93.6
Leonardo,09-10-97,16.4,6.35,212,119,19.6,108,64.7,811,148,NA,34.6,66,1370,NA,NA,327,1900,60.4
Guzzi,04-11-97,14.9,6.15,201,103,21.5,54.3,46.7,378,56.8,47.8,124,64,897,NA,468,458,112,22
Pozzillo,04-11-97,16.6,6.45,110,245,28.9,88,48.3,543,227,45.3,230,66,1521,NA,741,571,320,28
Martino,06-11-97,11.5,6.6,160,115,18,96.8,22.6,738,47.8,0.43,8.8,54,1102,NA,NA,295,315,63.5
Fontanamurata,06-11-97,14.3,7.55,116,37.5,10.2,20.9,47.3,250,29.5,0.31,31.4,24,451,NA,214,74,46,4
Musa,06-11-97,11,7.33,120,56.1,17.2,48.7,31.3,287,45.4,2.98,111,36,635,NA,774,588,140,56.3
Zummo,06-11-97,16.6,7.4,104,109,16.8,42.6,14.8,342,68.1,0.37,71,39,703,NA,365,379,761,62.4
Ellera,07-11-97,18,7.28,135,95.9,18,51,16.6,311,90,42.7,61.4,63,750,NA,1240,827,652,47
Fornazzo,07-11-97,12.2,7.14,148,31.7,11.3,16.4,18.4,97.6,49.8,14.9,24.9,48,313,NA,150,220,NA,4
d’Api,07-11-97,15.3,7.2,135,65.5,10.6,30,7,189,58.2,18.6,36,64,479,NA,1120,627,374,32
pulvieri,07-11-97,15.2,8.04,124,92.2,25.8,23.8,43.9,232,59,47.1,128,33,685,NA,170,NA,213,384
ranieri,07-11-97,15.6,7.23,121,65.3,10.9,28.9,8,201,44.6,15.1,35.4,66,476,NA,1450,660,314,39
maria,07-11-97,16.5,6.72,115,70.3,16.8,54.9,20.4,323,87.6,29.8,38.2,81,723,NA,976,714,367,15
Etna,09-12-97,18.1,7.11,-8,126,17.6,66.8,32.7,403,86,3.47,210,55,1001,NA,584,450,656,23.6
Fisichelli,09-12-97,18.1,7.16,82,101,16.4,52.1,27.5,415,80.3,7.13,68.7,61,830,NA,498,383,678,30
La,09-12-97,13.4,7.25,167,32.6,7,10.3,12.2,91.5,19.8,20.5,39.1,38,271,NA,328,344,26,40.2
Tavolone,09-12-97,16.4,7.42,-33,93.3,12.1,54.7,16,403,68,NA,53.7,67,767,NA,722,593,425,8.9
Torrerossa,09-12-97,13.4,7.63,126,45.1,8.6,22.2,15,210,24.3,6.08,27.9,37,396,NA,NA,380,148,44.6
Turchio,09-12-97,17.4,7.04,75,112,16.4,63.1,26.5,430,96.1,7.56,86.8,67,906,NA,1030,578,648,45.5
Ciappe,10-12-97,18.3,7.37,290,149,20.7,97,69.3,851,79.4,48.4,79.2,65,1460,NA,660,520,872,7
 ianche,10-12-97,17.4,6.94,288,211,22.7,131,103,1013,181,73.2,109,78,1922,NA,NA,278,1190,11
Gennaro,10-12-97,17.8,7.26,244,142,22.3,95.4,78.4,833,84,51.5,82.6,57,1446,119,1170,442,1020,8
Cons.Acque,11-12-97,15,6.3,302,92.4,15.6,56.9,50.9,381,57.8,58.3,107,60,880,NA,513,448,187,6
S.Francesco,11-12-97,14.8,6.32,264,77.5,12.1,50.2,45.9,357,52.7,67.6,106,84,853,NA,629,449,174,3
Gangemi,12-12-97,10.9,6.56,215,64.6,7.8,41.1,36.9,397,33.9,4.59,43.6,42,670,NA,NA,256,236,43.8
Piccolo,12-12-97,11.4,6.61,123,67.8,8.6,49.2,40.9,439,34.7,6.39,45.8,55,747,NA,NA,281,279,22
S.,12-12-97,8.9,6.89,160,52.6,9.8,29.5,54.5,311,37.6,NA,87.4,23,606,NA,62,198,218,22.1
A.Sorrentine,12-01-98,15,6.26,81,107,21.1,94,35.3,689,81.9,13.1,41,79,1162,NA,NA,421,1350,66
 ellia,13-01-98,11.1,7.66,65,18.6,6.5,3.4,3.5,64.1,10.4,0.31,6.8,36,149,NA,429,237,NA,29
 agnara,14-01-98,13.6,7.55,80,56.3,10.2,24.4,9.2,207,27.6,0.19,44.4,32,412,NA,NA,375,212,21
Favare,14-01-98,11.8,7.65,107,139,23.1,95,24.4,622,95,6.51,117,47,1169,NA,885,605,453,138
Polano,14-01-98,14.5,7.19,105,46,9.1,16.9,17.8,101,30,35.1,65.7,38,359,NA,401,427,NA,12
17 salme,27-01-98,10.9,6.8,147,60.9,12.9,30.3,57.9,384,31.2,8.68,45,30,661,NA,NA,202,187,20
